Country Name,Acces la electricitate(%)
Afghanistan,97.7
Albania,100
Algeria,99.5
Angola,45.67031479
Argentina,100
Armenia,100
Australia,100
Austria,100
Azerbaijan,100
Bahrain,100
Bangladesh,92.2
Belarus,100
Belgium,100
Belize,92.72
Benin,40.31874084
Bolivia,96.30310059
Bosnia and Herzegovina,100
Botswana,70.18318176
Brazil,99.8
Brunei Darussalam,100
Bulgaria,100
Burkina Faso,18.3791523
Burundi,11.0647974
Cabo Verde,95.53353882
Cambodia,93
Cameroon,63.45231247
Canada,100
Central African Republic,14.3
Chad,8.4
Chile,100
China,100
Colombia,99.7662735
"Congo, Dem. Rep.",19.1
"Congo, Rep.",48.32972336
Costa Rica,99.71
Cote d'Ivoire,68.55010986
Croatia,100
Cyprus,100
Czech Republic,100
Denmark,100
Dominican Republic,100
Ecuador,100
"Egypt, Arab Rep.",100
El Salvador,100
Equatorial Guinea,66.59217834
Estonia,100
Eswatini,77.16963959
Ethiopia,48.2716217
Fiji,100
Finland,100
France,100
Gabon,90.68525696
"Gambia, The",59.92128754
Georgia,100
Germany,100
Ghana,83.5
Greece,100
Guatemala,95.72457123
Guinea,42.41838837
Guinea-Bissau,31.0404129
Guyana,92.02169037
Haiti,45.37134552
Honduras,92.77952576
Hungary,100
India,97.81528473
Indonesia,98.85
"Iran, Islamic Rep.",100
Iraq,100
Ireland,100
Israel,100
Italy,100
Jamaica,99.3837738
Japan,100
Jordan,100
Kazakhstan,100
Kenya,69.7
"Korea, Rep.",100
Kuwait,100
Kyrgyz Republic,99.88175201
Latvia,100
Lebanon,100
Lesotho,44.64067841
Liberia,27.64920998
Lithuania,100
Luxembourg,100
Madagascar,26.9071846
Malawi,11.2
Malaysia,100
Mali,48.02124786
Malta,100
Mauritania,45.81206894
Mauritius,100
Mexico,100
Moldova,100
Mongolia,99.12526703
Montenegro,100
Morocco,99.6
Mozambique,29.61616135
Myanmar,68.35665131
Namibia,55.19511795
Nepal,89.9
Netherlands,100
New Zealand,100
Nicaragua,88.21266937
Niger,18.77472496
Nigeria,55.4
North Macedonia,100
Norway,100
Oman,100
Pakistan,73.91436005
Panama,95.83455658
Papua New Guinea,63.46451187
Paraguay,100
Peru,98.34660339
Philippines,95.62862396
Poland,100
Portugal,100
Romania,100
Russian Federation,100
Rwanda,37.78243637
Saudi Arabia,100
Senegal,70.4
Serbia,99.8
Seychelles,100
Sierra Leone,22.7
Singapore,100
Slovak Republic,100
Slovenia,100
South Africa,85
Spain,100
Sri Lanka,100
Sudan,53.82707214
Sweden,100
Switzerland,100
Tajikistan,99.63539124
Tanzania,37.7
Thailand,99.9
Timor-Leste,94.71617889
Togo,52.44109726
Trinidad and Tobago,100
Tunisia,100
Turkey,100
Uganda,41.3
Ukraine,100
United Kingdom,100
United States,100
Uruguay,99.9
Zambia,43
Zimbabwe,41.08910751
