Country Name,Zona acoperita de paduri(%)
Afghanistan,1.850994088
Albania,28.7919708
Algeria,0.81411035
Angola,53.87217454
Argentina,10.48017861
Armenia,11.54478398
Australia,17.42131456
Austria,47.20746486
Azerbaijan,13.55336705
Bahrain,0.871794872
Bangladesh,14.46877161
Belarus,43.12296778
Belgium,22.76420079
Belize,56.47566857
Benin,28.24716211
Bolivia,47.10953568
Bosnia and Herzegovina,42.73261719
Botswana,27.12579182
Brazil,59.55852618
Brunei Darussalam,72.10626186
Bulgaria,35.74060427
Burkina Faso,22.90350877
Burundi,10.8894081
Cabo Verde,11.27047146
Cambodia,46.58996148
Cameroon,43.14797656
Canada,38.69963717
Central African Republic,35.84866288
Chad,3.511753494
Chile,24.32686152
China,23.14116554
Colombia,53.48463272
"Congo, Dem. Rep.",56.13312896
"Congo, Rep.",64.30746706
Costa Rica,59.11672542
Cote d'Ivoire,9.275471698
Croatia,34.22177063
Cyprus,18.67424242
Czech Republic,34.65388601
Denmark,15.6875
Dominican Republic,44.21465535
Ecuador,50.58020615
"Egypt, Arab Rep.",0.045185594
El Salvador,28.39671815
Equatorial Guinea,87.58573975
Estonia,56.09385783
Eswatini,28.85755814
Ethiopia,15.17886663
Fiji,62.03284072
Finland,73.73321927
France,31.35673546
Gabon,91.36678698
"Gambia, The",24.54545455
Georgia,40.61591596
Germany,32.68361097
Ghana,35.06407665
Greece,30.26997673
Guatemala,33.02911534
Guinea,25.34999186
Guinea-Bissau,70.71301565
Guyana,93.59685039
Haiti,12.71444122
Honduras,57.02216463
Hungary,22.51227263
India,24.18062754
Indonesia,49.39429641
"Iran, Islamic Rep.",6.596103784
Iraq,1.900361184
Ireland,11.29365655
Israel,6.469500924
Italy,31.94948443
Jamaica,54.75530933
Japan,68.40877915
Jordan,1.09822032
Kazakhstan,1.268822462
Kenya,6.344818498
"Korea, Rep.",64.57136998
Kuwait,0.350729517
Kyrgyz Republic,6.762982273
Latvia,54.87067161
Lebanon,13.95210166
Lesotho,1.137022398
Liberia,79.39887874
Lithuania,35.12693597
Luxembourg,36.50205761
Madagascar,21.38712616
Malawi,24.22252864
Malaysia,58.32959976
Mali,10.89666363
Malta,1.4375
Mauritania,0.308819249
Mauritius,19.07881773
Mexico,33.85881839
Moldova,11.75297169
Mongolia,9.101842665
Montenegro,61.48698885
Morocco,12.84358055
Mozambique,47.00794781
Myanmar,44.16979427
Namibia,8.150117213
Nepal,41.59072201
Netherlands,10.94653995
New Zealand,37.46731989
Nicaragua,29.14683397
Niger,0.862177311
Nigeria,23.92508537
North Macedonia,39.71015067
Norway,33.33864227
Oman,0.008077544
Pakistan,4.886934413
Panama,56.96172668
Papua New Guinea,79.25029811
Paraguay,41.23231815
Peru,56.643125
Philippines,23.99201798
Poland,30.93379495
Portugal,36.15499489
Romania,30.11582928
Russian Federation,49.78433608
Rwanda,11.14714228
Saudi Arabia,0.454484135
Senegal,42.11374851
Serbia,31.12531443
Seychelles,73.26086957
Sierra Leone,35.39221391
Singapore,22.21438646
Slovak Republic,40.05615641
Slovenia,61.57307165
South Africa,14.08509674
Spain,37.16523359
Sri Lanka,34.20697013
Sudan,10.02129144
Sweden,68.69460607
Switzerland,32.02928027
Tajikistan,3.046328986
Tanzania,52.17204787
Thailand,38.96924974
Timor-Leste,62.03765972
Togo,22.28773672
Trinidad and Tobago,44.56335283
Tunisia,4.51338826
Turkey,28.6687889
Uganda,11.86490126
Ukraine,16.71384191
United Kingdom,13.15256479
United States,33.86692641
Uruguay,11.48440178
Zambia,60.53651515
Zimbabwe,45.21300246
